Time,Ego_Speed,Fused_Distance,Relative_Speed,Lead_Speed,Ego_Accel,Lead_Accel
0.0,18.34,35.47,0.0,18.34,0.0,0.0
0.1,18.34,35.24,-2.3,16.04,0.0,-23.0
0.2,18.34,35.0926,-1.4744,16.8656,0.0,8.2565
0.3,18.34,34.7607,-3.319,15.021,0.0,-18.4462
0.4,18.34,34.7209,-0.3972,17.9428,0.0,29.2179
0.5,18.34,34.5273,-1.9368,16.4032,0.0,-15.3958
0.6,18.34,34.3336,-1.9368,16.4032,0.0,0.0
0.7,18.34,34.2553,-0.7829,17.5571,0.0,11.5386
0.8,18.34,33.6324,-6.2287,12.1113,0.0,-54.4584
0.9,18.34,33.5805,-0.5197,17.8203,0.0,57.0908
1.0,18.34,33.23,-3.5047,14.8353,0.0,-29.8499
1.1,18.34,33.1391,-0.9093,17.4307,0.0,25.9535
1.2,18.34,32.7915,-3.4759,14.8641,0.0,-25.6658
1.3,18.34,32.5433,-2.4815,15.8585,0.0,9.944
1.4,18.34,32.466,-0.7733,17.5667,0.0,17.0814
1.5,18.34,32.2273,-2.3868,15.9532,0.0,-16.1342
1.6,17.73,32.1074,-1.1988,16.5312,-6.1,5.7794
1.7,17.73,31.8414,-2.6601,15.0699,0.0,-14.6132
1.8,17.73,31.5871,-2.5437,15.1863,0.0,1.1644
1.9,17.73,31.519,-0.6806,17.0494,0.0,18.6311
2.0,17.73,31.2649,-2.5406,15.1894,0.0,-18.6006
2.1,17.704,31.1515,-1.1343,16.5697,-0.2603,13.8034
2.2,17.62,30.9725,-1.7901,15.8299,-0.8397,-7.3976
2.3,17.6183,30.72,-2.525,15.0933,-0.017,-7.3663
2.4,17.56,30.6667,-0.5333,17.0267,-0.583,19.3337
2.5,17.5309,30.5503,-1.1635,16.3674,-0.2906,-6.5928
2.6,17.53,30.42,-1.3031,16.2269,-0.0094,-1.4052
2.7,17.46,30.2114,-2.0857,15.3743,-0.7,-8.5258
2.8,17.4379,30.1157,-0.9572,16.4806,-0.2215,11.0634
2.9,17.3927,30.0253,-0.904,16.4887,-0.452,0.0807
3.0,17.34,29.8333,-1.9198,15.4202,-0.5266,-10.6847
3.1,17.2569,29.63,-2.0333,15.2236,-0.8306,-1.9662
3.2,17.23,29.5933,-0.3667,16.8633,-0.2694,16.3973
3.3,17.23,29.4082,-1.8515,15.3785,0.0,-14.8485
3.4,17.2067,29.36,-0.4818,16.7249,-0.2333,13.4637
3.5,17.1044,29.2044,-1.5561,15.5483,-1.0228,-11.7656
3.6,17.08,29.1667,-0.3772,16.7028,-0.2439,11.5448
3.7,17.08,29.0528,-1.1388,15.9412,0.0,-7.6157
3.8,17.03,28.9195,-1.3326,15.6974,-0.5,-2.4383
3.9,17.0102,28.8845,-0.35,16.6602,-0.1981,9.6286
4.0,16.9141,28.7806,-1.039,15.875,-0.9613,-7.852
4.1,16.89,28.6967,-0.8389,16.0511,-0.2406,1.7602
4.2,16.83,28.6709,-0.2582,16.5718,-0.6,5.2073
4.3,16.8075,28.57,-1.0091,15.7984,-0.225,-7.7337
4.4,16.74,28.5286,-0.4143,16.3257,-0.675,5.273
4.5,16.7,28.4335,-0.9507,15.7493,-0.4,-5.7643
4.6,16.62,28.42,-0.135,16.485,-0.8,7.3571
4.7,16.62,28.3982,-0.2182,16.4018,0.0,-0.8318
4.8,16.57,28.302,-0.9623,15.6077,-0.5,-7.9413
