Time,Ego_Speed,Fused_Distance,Relative_Speed,Lead_Speed,Ego_Accel,Lead_Accel
0.0,14.9,19.94,0.0,14.9,0.0,0.0
0.1,14.9552,22.7332,27.9318,42.887,0.5519,279.87
0.2,15.0077,22.8278,0.9459,15.9536,0.5248,-269.3343
0.3,15.0601,22.9224,0.9459,16.006,0.5248,0.5248
0.4,15.115,23.1744,2.5208,17.6358,0.5485,16.2979
0.5,15.1683,26.9354,30.0,45.1683,0.5328,275.3244
0.6,15.22,27.1219,1.8646,17.0846,0.5172,-280.8365
0.7,15.2724,23.9163,-30.0,-14.7276,0.524,-318.1222
0.8,15.317,23.0881,-8.282,7.035,0.4455,217.6256
0.9,15.3651,22.8731,-2.1505,13.2146,0.4813,61.7963
1.0,15.4132,22.658,-2.1505,13.2627,0.4813,0.4813
1.1,15.4613,22.443,-2.1505,13.3108,0.4813,0.4813
1.2,15.489,21.8446,-5.9836,9.5054,0.2769,-38.0542
1.3,15.5226,21.98,1.3537,16.8763,0.3358,73.7084
1.4,15.5676,22.2842,3.0419,18.6096,0.4503,17.3331
1.5,15.5978,23.04,7.5581,23.1559,0.3017,45.4629
1.6,15.6179,23.3071,2.6714,18.2893,0.2005,-48.6658
1.7,15.6515,23.3815,0.7436,16.3951,0.3364,-18.9422
1.8,15.6744,23.39,0.085,15.7594,0.2287,-6.3569
1.9,15.69,23.3998,0.0976,15.7876,0.1563,0.2824
2.0,15.7107,23.41,0.1024,15.8131,0.207,0.2546
2.1,15.7165,23.41,0.0,15.7165,0.0585,-0.9653
2.2,15.73,23.4117,0.0171,15.7471,0.1345,0.3052
2.3,15.74,23.43,0.1829,15.9229,0.1,1.7585
2.4,15.75,23.43,0.0,15.75,0.1,-1.7293
2.5,15.7665,23.4533,0.2327,15.9992,0.1654,2.4923
2.6,15.8012,23.6236,1.703,17.5042,0.3469,15.0498
2.7,15.8363,23.916,2.924,18.7603,0.3509,12.5609
2.8,15.8714,24.2084,2.924,18.7954,0.3509,0.3509
2.9,15.9065,24.5008,2.924,18.8305,0.3509,0.3509
