Time,Ego_Speed,Fused_Distance,Relative_Speed,Lead_Speed,Ego_Accel,Lead_Accel
0.0,13.32,18.45,0.0,13.32,0.0,0.0
0.1,13.3063,18.4248,-0.2519,13.0543,-0.1374,-2.6568
0.2,13.2869,18.3893,-0.3548,12.9321,-0.1935,-1.2226
0.3,13.2675,18.3538,-0.3548,12.9127,-0.1935,-0.1935
0.4,13.2442,18.3,-0.5384,12.7058,-0.2338,-2.0693
0.5,13.2234,18.2807,-0.1932,13.0303,-0.2073,3.2448
0.6,13.204,18.258,-0.2273,12.9767,-0.1948,-0.5357
0.7,13.1845,18.2352,-0.2273,12.9572,-0.1948,-0.1948
0.8,13.16,18.21,-0.2523,12.9077,-0.2448,-0.4948
0.9,13.1424,18.1974,-0.1258,13.0166,-0.1761,1.0888
1.0,13.1204,18.1817,-0.1572,12.9631,-0.2201,-0.5346
1.1,13.0984,18.166,-0.1572,12.9411,-0.2201,-0.2201
1.2,13.0727,18.1569,-0.0911,12.9815,-0.2569,0.404
1.3,13.0564,18.1499,-0.0698,12.9866,-0.1628,0.051
1.4,13.0401,18.1429,-0.0698,12.9703,-0.1628,-0.1628
1.5,13.0238,18.1359,-0.0698,12.9541,-0.1628,-0.1628
1.6,13.0142,18.13,-0.0593,12.9549,-0.0967,0.0079
1.7,12.999,18.12,-0.1,12.899,-0.1513,-0.5583
1.8,12.9926,18.12,0.0,12.9926,-0.0641,0.9359
1.9,12.9789,18.1206,0.0057,12.9846,-0.1377,-0.0806
2.0,12.9741,18.123,0.0238,12.9979,-0.0476,0.1333
2.1,12.9693,18.1253,0.0238,12.9931,-0.0476,-0.0476
2.2,12.9646,18.1277,0.0238,12.9884,-0.0476,-0.0476
2.3,12.96,18.13,0.0229,12.9829,-0.0457,-0.0552
2.4,12.96,18.13,0.0,12.96,0.0,-0.2286
2.5,12.96,18.13,0.0,12.96,0.0,0.0
2.6,12.964,18.136,0.06,13.024,0.04,0.64
2.7,12.9613,18.1325,-0.0347,12.9266,-0.0273,-0.974
2.8,12.9646,18.1392,0.0667,13.0313,0.0333,1.0467
2.9,12.9679,18.1459,0.0667,13.0346,0.0333,0.0333
3.0,12.9712,18.14,-0.0587,12.9125,0.0326,-1.2208
3.1,12.98,18.14,0.0,12.98,0.0881,0.6748
3.2,12.9893,18.1419,0.0187,13.008,0.0933,0.28
3.3,13.0027,18.1445,0.0267,13.0293,0.1333,0.2133
3.4,13.016,18.1472,0.0267,13.0427,0.1333,0.1333
3.5,13.0293,18.1499,0.0267,13.056,0.1333,0.1333
3.6,13.0353,18.1474,-0.0251,13.0102,0.0595,-0.4578
3.7,13.0427,18.1436,-0.0372,13.0055,0.0743,-0.0468
3.8,13.05,18.14,-0.0364,13.0136,0.0729,0.0803
3.9,13.0571,18.14,0.0,13.0571,0.0707,0.435
4.0,13.06,18.13,-0.1,12.96,0.0293,-0.9707
4.1,13.06,18.12,-0.1,12.96,0.0,0.0
4.2,13.07,18.12,0.0,13.07,0.1,1.1
4.3,13.0737,18.1126,-0.0741,12.9996,0.0371,-0.7042
4.4,13.0776,18.1049,-0.0772,13.0003,0.0386,0.0077
4.5,13.0813,18.0981,-0.0678,13.0135,0.0371,0.1316
4.6,13.0862,18.0907,-0.0735,13.0126,0.049,-0.0086
4.7,13.0911,18.0834,-0.0735,13.0175,0.049,0.049
4.8,13.096,18.076,-0.0735,13.0225,0.049,0.049
4.9,13.1,18.06,-0.1603,12.9397,0.0402,-0.8275
5.0,13.104,18.0519,-0.0805,13.0235,0.0403,0.8378
5.1,13.1086,18.0429,-0.0905,13.0181,0.0452,-0.0543
5.2,13.11,18.0212,-0.2171,12.8929,0.0145,-1.2511
5.3,13.1156,18.0144,-0.0676,13.0479,0.0557,1.55
5.4,13.1214,18.0086,-0.0587,13.0628,0.0587,0.1484
5.5,13.1273,18.0027,-0.0587,13.0687,0.0587,0.0587
5.6,13.1342,17.97,-0.327,12.8072,0.0685,-2.6148
5.7,13.1312,17.96,-0.1,13.0312,-0.0296,2.2402
5.8,13.133,17.947,-0.1301,13.003,0.0181,-0.2824
5.9,13.1385,17.9415,-0.0546,13.0838,0.0546,0.8087
6.0,13.14,17.9191,-0.2242,12.9158,0.0153,-1.6806
6.1,13.14,17.9021,-0.1702,12.9698,0.0,0.5402
6.2,13.14,17.89,-0.1209,13.0191,0.0,0.4936
6.3,13.14,17.8876,-0.0244,13.1156,0.0,0.9643
6.4,13.14,17.8847,-0.0291,13.1109,0.0,-0.0465
6.5,13.14,17.8817,-0.0291,13.1109,0.0,0.0
6.6,13.14,17.87,-0.1174,13.0226,0.0,-0.8837
6.7,13.14,17.87,0.0,13.14,0.0,1.1744
6.8,13.14,17.87,0.0,13.14,0.0,0.0
6.9,13.1437,17.87,0.0,13.1437,0.0373,0.0373
7.0,13.1489,17.87,0.0,13.1489,0.0518,0.0518
7.1,13.1541,17.87,0.0,13.1541,0.0518,0.0518
7.2,13.1593,17.87,0.0,13.1593,0.0518,0.0518
7.3,13.1667,17.87,0.0,13.1667,0.0742,0.0742
7.4,13.172,17.87,0.0,13.172,0.0527,0.0527
7.5,13.1798,17.87,0.0,13.1798,0.0787,0.0787
7.6,13.1877,17.87,0.0,13.1877,0.0787,0.0787
7.7,13.1919,17.87,0.0,13.1919,0.0417,0.0417
7.8,13.1971,17.87,0.0,13.1971,0.0525,0.0525
7.9,13.2024,17.87,0.0,13.2024,0.0525,0.0525
8.0,13.2076,17.87,0.0,13.2076,0.0525,0.0525
8.1,13.2095,17.8612,-0.0875,13.122,0.0187,-0.8566
8.2,13.2069,17.7625,-0.987,12.2199,-0.026,-9.0208
8.3,13.2043,17.6638,-0.987,12.2173,-0.026,-0.026
8.4,13.2017,17.5651,-0.987,12.2147,-0.026,-0.026
8.5,13.2041,17.5,-0.6514,12.5527,0.0241,3.3799
8.6,13.21,17.5,0.0,13.21,0.0587,6.573
8.7,13.2012,17.5,0.0,13.2012,-0.0879,-0.0879
8.8,13.2071,17.5,0.0,13.2071,0.0586,0.0586
8.9,13.1929,17.5,0.0,13.1929,-0.1415,-0.1415
9.0,13.18,17.5,0.0,13.18,-0.1293,-0.1293
9.1,13.1649,17.5,0.0,13.1649,-0.1511,-0.1511
9.2,13.141,17.5,0.0,13.141,-0.2392,-0.2392
9.3,13.1269,17.5,0.0,13.1269,-0.1406,-0.1406
9.4,13.1129,17.5,0.0,13.1129,-0.1405,-0.1405
9.5,13.0824,17.51,0.1,13.1824,-0.3046,0.6954
9.6,13.0651,17.51,0.0,13.0651,-0.1728,-1.1728
9.7,13.0319,17.42,-0.9,12.1319,-0.3322,-9.3322
9.8,13.0069,17.42,0.0,13.0069,-0.25,8.75
9.9,12.986,17.42,0.0,12.986,-0.2086,-0.2086
10.0,12.9592,17.42,0.0,12.9592,-0.2685,-0.2685
10.1,12.9349,17.4049,-0.1512,12.7837,-0.2432,-1.7552
10.2,12.9069,17.3769,-0.28,12.6269,-0.28,-1.568
10.3,12.88,17.36,-0.1688,12.7112,-0.2688,0.8432
10.4,12.8732,17.36,0.0,12.8732,-0.0683,1.6197
10.5,12.862,17.3359,-0.2411,12.6209,-0.1121,-2.5228
10.6,12.8552,17.3348,-0.0106,12.8446,-0.068,2.2371
10.7,12.8497,17.3403,0.0543,12.9041,-0.0543,0.5947
10.8,12.8443,17.3457,0.0543,12.8986,-0.0543,-0.0543
10.9,12.83,17.36,0.1429,12.9729,-0.1429,0.7429
11.0,12.8395,17.36,0.0,12.8395,0.0947,-1.3346
11.1,12.83,17.36,0.0,12.83,-0.0947,-0.0947
11.2,12.8212,17.36,0.0,12.8212,-0.0881,-0.0881
11.3,12.8274,17.4228,0.6284,13.4558,0.062,6.3461
11.4,12.8352,17.489,0.6615,13.4967,0.0778,0.4086
11.5,12.84,17.53,0.4101,13.2501,0.0482,-2.4654
11.6,12.8552,17.5452,0.1522,13.0074,0.1522,-2.4272
11.7,12.8781,17.55,0.0478,12.9259,0.2288,-0.8147
11.8,12.9033,17.55,0.0,12.9033,0.2524,-0.2259
11.9,12.927,17.55,0.0,12.927,0.2364,0.2364
12.0,12.9505,17.56,0.1,13.0505,0.2354,1.2354
