Time,Ego_Speed,Fused_Distance,Relative_Speed,Lead_Speed,Ego_Accel,Lead_Accel
0.0,13.41,22.69,0.0,13.41,0.0,0.0
0.1,13.3743,22.6492,-0.4082,12.9661,-0.3571,-4.4388
0.2,13.3386,22.6084,-0.4082,12.9304,-0.3571,-0.3571
0.3,13.3029,22.5676,-0.4082,12.8947,-0.3571,-0.3571
0.4,13.27,22.51,-0.5755,12.6945,-0.3286,-2.002
0.5,13.2319,22.3895,-1.2048,12.0271,-0.381,-6.6735
0.6,13.1893,22.3424,-0.4707,12.7186,-0.4259,6.9143
0.7,13.1451,22.3016,-0.4082,12.7369,-0.4422,0.1837
0.8,13.1009,22.2608,-0.4082,12.6927,-0.4422,-0.4422
0.9,13.08,22.2236,-0.3718,12.7082,-0.2088,0.1548
1.0,13.072,22.1807,-0.4297,12.6423,-0.08,-0.659
1.1,13.062,22.144,-0.3667,12.6953,-0.1,0.5303
1.2,13.052,22.1073,-0.3667,12.6853,-0.1,-0.1
1.3,13.05,22.0811,-0.262,12.788,-0.02,1.0265
1.4,13.0756,22.0574,-0.237,12.8387,0.2564,0.5069
1.5,13.0971,22.0309,-0.265,12.8321,0.2148,-0.0656
1.6,13.1235,21.9974,-0.3357,12.7878,0.2638,-0.4435
1.7,13.1499,21.9638,-0.3357,12.8141,0.2638,0.2638
1.8,13.1763,21.9302,-0.3357,12.8405,0.2638,0.2638
1.9,13.2,21.9,-0.3022,12.8978,0.2374,0.5731
2.0,13.2182,21.8235,-0.7647,12.4535,0.1824,-4.4434
2.1,13.2419,21.7762,-0.4737,12.7682,0.2368,3.1474
2.2,13.2656,21.7288,-0.4737,12.7919,0.2368,0.2368
2.3,13.2893,21.6814,-0.4737,12.8156,0.2368,0.2368
2.4,13.3047,21.6563,-0.2517,13.053,0.1546,2.3743
2.5,13.3272,21.5838,-0.7246,12.6027,0.2249,-4.5037
2.6,13.3312,21.5629,-0.2085,13.1227,0.0394,5.1998
2.7,13.3429,21.4924,-0.7059,12.6371,0.1176,-4.856
2.8,13.3547,21.4218,-0.7059,12.6488,0.1176,0.1176
2.9,13.3665,21.3512,-0.7059,12.6606,0.1176,0.1176
3.0,13.3718,21.309,-0.4214,12.9504,0.0535,2.8983
3.1,13.377,21.2491,-0.599,12.7781,0.0521,-1.7235
3.2,13.3822,21.1892,-0.599,12.7833,0.0521,0.0521
3.3,13.3874,21.1293,-0.599,12.7885,0.0521,0.0521
3.4,13.39,21.0757,-0.5363,12.8537,0.0255,0.6516
3.5,13.39,21.0108,-0.6494,12.7406,0.0,-1.13
3.6,13.39,20.9458,-0.6494,12.7406,0.0,-0.0
3.7,13.39,20.89,-0.5584,12.8316,0.0,0.9091
3.8,13.39,20.7973,-0.9267,12.4633,0.0,-3.6822
3.9,13.39,20.7307,-0.6667,12.7233,0.0,2.6
4.0,13.39,20.664,-0.6667,12.7233,0.0,0.0
4.1,13.39,20.5973,-0.6667,12.7233,0.0,0.0
4.2,13.38,20.5629,-0.3441,13.0359,-0.1,3.1255
4.3,13.38,20.4986,-0.6434,12.7366,0.0,-2.9932
4.4,13.38,20.4342,-0.6434,12.7366,0.0,0.0
4.5,13.38,20.3699,-0.6434,12.7366,0.0,0.0
4.6,13.38,20.3192,-0.507,12.873,0.0,1.364
4.7,13.37,20.2313,-0.8788,12.4912,-0.1,-3.8181
4.8,13.3601,20.1738,-0.5755,12.7846,-0.0989,2.9347
4.9,13.3486,20.1316,-0.4215,12.9272,-0.1149,1.4255
5.0,13.34,20.0509,-0.807,12.533,-0.0862,-3.9416
5.1,13.3256,19.9969,-0.5402,12.7855,-0.1437,2.5245
5.2,13.311,19.9529,-0.4399,12.8711,-0.1466,0.8563
5.3,13.2963,19.9089,-0.4399,12.8564,-0.1466,-0.1466
